window_id,input_id,source_file,source_index,predicted_class_name,confidence,original_route,monitoring_status,auto_clearance_suspended,effective_route,monitoring_override_applied,monitoring_reason
1,record_000007317:0,artifacts/input_files/record_000007317.npy,0,Normal,0.9981677532196045,AUTO_ACCEPT,GREEN,False,AUTO_ACCEPT,False,All immediate drift features are within limits.
1,record_000007920:0,artifacts/input_files/record_000007920.npy,0,Edge-Loc,0.9999297857284546,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000012664:0,artifacts/input_files/record_000012664.npy,0,Edge-Ring,1.0,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000012688:0,artifacts/input_files/record_000012688.npy,0,Edge-Ring,1.0,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000019377:0,artifacts/input_files/record_000019377.npy,0,Random,0.9990917444229126,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000019491:0,artifacts/input_files/record_000019491.npy,0,Edge-Ring,0.9999995231628418,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000021185:0,artifacts/input_files/record_000021185.npy,0,Edge-Ring,0.9999972581863403,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000021190:0,artifacts/input_files/record_000021190.npy,0,Edge-Ring,0.99998939037323,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000021400:0,artifacts/input_files/record_000021400.npy,0,Edge-Ring,0.9999985694885254,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000021411:0,artifacts/input_files/record_000021411.npy,0,Edge-Ring,0.9999985694885254,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000021466:0,artifacts/input_files/record_000021466.npy,0,Edge-Ring,0.9999996423721313,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000021500:0,artifacts/input_files/record_000021500.npy,0,Edge-Ring,0.9999995231628418,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000021521:0,artifacts/input_files/record_000021521.npy,0,Edge-Ring,0.9999997615814209,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000021681:0,artifacts/input_files/record_000021681.npy,0,Scratch,0.935335636138916,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000070488:0,artifacts/input_files/record_000070488.npy,0,Edge-Loc,0.9973868727684021,ENGINEER_REVIEW,GREEN,False,ENGINEER_REVIEW,False,All immediate drift features are within limits.
1,record_000071508:0,artifacts/input_files/record_000071508.npy,0,Edge-Loc,0.739799439907074,ABSTAIN,GREEN,False,ABSTAIN,False,All immediate drift features are within limits.
